STATUS | wrapper  | 2012/03/29 23:06:40 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/03/29 23:06:40 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2012/03/29 23:06:40 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/03/29 23:06:40 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/03/29 23:06:40 | 
STATUS | wrapper  | 2012/03/29 23:06:40 | Launching a JVM...
INFO   | jvm 1    | 2012/03/29 23:06:46 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper: Initializing...
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper: start()
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper: An action was not specified.  Default to "dialog".  Use "help" for list of actions.
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper: ActionServer Enabled. 
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:   Telnet localhost 9999
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:   Commands: 
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     S: Shutdown
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     H: Expected Halt
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     R: Restart
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     D: Thread Dump
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     U: Unexpected Halt (Simulate crash)
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     V: Access Violation (Actual crash)
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:     G: Make the JVM appear to be hung.
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper:
INFO   | jvm 1    | 2012/03/29 23:06:48 | TestWrapper: Showing dialog...
INFO   | jvm 1    | 2012/03/29 23:07:04 | Exception in thread "AWT-EventQueue-0" java.lang.SecurityException: A SecurityManager has not yet been set.
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at org.tanukisoftware.wrapper.WrapperManager.listServices(WrapperManager.java:3477)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at org.tanukisoftware.wrapper.test.AbstractActionApp.doAction(AbstractActionApp.java:473)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at org.tanukisoftware.wrapper.test.Main$MainFrame.actionPerformed(Main.java:345)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.Button.processActionEvent(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.Button.processEvent(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.Component.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.Component.dispatchEvent(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue.dispatchEventImpl(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue.access$000(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue$1.run(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue$1.run(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.security.AccessControlContext$1.doIntersectionPrivilege(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.security.AccessControlContext$1.doIntersectionPrivilege(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue$2.run(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue$2.run(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.security.AccessController.doPrivileged(Native Method)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.security.AccessControlContext$1.doIntersectionPrivilege(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventQueue.dispatchEvent(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventDispatchThread.pumpOneEventForFilters(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventDispatchThread.pumpEventsForFilter(Unknown Source)
INFO   | jvm 1    | 2012/03/29 23:07:04 | 	at java.awt.EventDispatchThread.pumpEventsForHierarchy(Unknown Source)
